City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Atuona,PF,-9.8,-139.0333,78.85,74,100,16.4,overcast clouds
Nikolskoye,RU,59.7035,30.7861,31.87,97,100,4.32,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,4.84,92,0,9.22,clear sky
Saskylakh,RU,71.9167,114.0833,-12.64,91,100,3.74,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,74,40,10.36,scattered clouds
Beibei,CN,29.8256,106.4339,81.07,51,70,2.06,broken clouds
Albany,US,42.6001,-73.9662,43.63,53,100,8.08,overcast clouds
Mataura,NZ,-46.1927,168.8643,60.48,60,68,9.48,broken clouds
Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,13.8,clear sky
Laguna,US,38.421,-121.4238,62.89,38,0,5.75,clear sky
Bluff,NZ,-46.6,168.3333,60.8,70,18,16.22,few clouds
Tromso,NO,69.6496,18.957,41.38,81,100,2.3,overcast clouds
Canapi,BR,-9.1174,-37.6012,72.39,71,96,3.58,overcast clouds
Havoysund,NO,70.9963,24.6622,35.31,99,100,6.02,snow
Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,94,100,8.97,overcast clouds
Korla,CN,41.7597,86.1469,52.16,30,98,3.89,overcast clouds
Khatanga,RU,71.9667,102.5,-19.52,97,98,5.95,overcast clouds
Busselton,AU,-33.65,115.3333,78.31,64,0,13.65,clear sky
Prerov,CZ,49.4551,17.4509,30.96,46,0,3.13,clear sky
Umm Lajj,SA,25.0213,37.2685,63.46,52,2,18.39,clear sky
Port Alfred,ZA,-33.5906,26.891,71.46,92,98,11.23,overcast clouds
Kargasok,RU,59.0556,80.8572,-8.19,100,98,2.91,overcast clouds
Mayo,US,38.8876,-76.5119,50.13,87,0,12.66,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,68.5,75,0,9.22,clear sky
Dikson,RU,73.5069,80.5464,-5.58,89,100,23.87,overcast clouds
Coos Bay,US,43.3665,-124.2179,46.99,93,0,0.0,clear sky
Rikitea,PF,-23.1203,-134.9692,78.84,67,1,3.24,clear sky
Vaini,TO,-21.2,-175.2,86.16,84,75,9.22,broken clouds
Khani,GE,41.9563,42.9566,24.37,95,100,3.38,light snow
Roald,NO,62.5833,6.1333,48.34,29,3,17.27,clear sky
Henties Bay,NA,-22.116,14.2845,66.4,89,81,4.94,broken clouds
Dauphin,CA,51.1494,-100.0502,-2.06,60,0,11.5,clear sky
Hobart,AU,-42.8794,147.3294,73.26,45,20,4.61,few clouds
Hilo,US,19.7297,-155.09,80.33,69,0,6.91,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,69,75,8.95,broken clouds
Sturgis,US,41.7992,-85.4192,24.93,63,0,8.05,clear sky
Hermanus,ZA,-34.4187,19.2345,68.81,82,0,3.83,clear sky
Lorengau,PG,-2.0226,147.2712,85.05,68,31,4.25,scattered clouds
Makakilo City,US,21.3469,-158.0858,82.72,51,0,13.8,clear sky
Paciran,ID,-6.8767,112.3761,84.42,71,100,3.09,overcast clouds
Fairbanks,US,64.8378,-147.7164,17.94,37,0,8.05,clear sky
Bilma,NE,18.6853,12.9164,66.97,20,46,11.95,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,64.06,71,79,1.66,broken clouds
Pevek,RU,69.7008,170.3133,5.45,75,0,1.83,clear sky
Egvekinot,RU,66.3167,-179.1667,18.91,63,0,8.52,clear sky
East London,ZA,-33.0153,27.9116,72.54,94,0,8.05,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,77.45,88,0,24.18,clear sky
Payson,US,40.0444,-111.7321,36.88,32,100,0.0,overcast clouds
Bethel,US,41.3712,-73.414,43.9,93,52,3.8,broken clouds
Port Hardy,CA,50.6996,-127.4199,41.18,93,100,9.22,light rain
Keti Bandar,PK,24.1447,67.4497,77.81,65,10,9.1,clear sky
Luang Prabang,LA,19.8856,102.1347,91.26,48,29,3.04,scattered clouds
Pueblo Bello,CO,8.2041,-76.526,73.49,96,82,2.19,broken clouds
Mahebourg,MU,-20.4081,57.7,79.25,94,40,5.75,scattered clouds
Cape Town,ZA,-33.9258,18.4232,73.11,88,0,2.3,clear sky
Vibo Valentia,IT,38.6996,16.1274,32.59,71,34,6.13,scattered clouds
San Patricio,US,28.017,-97.5169,48.06,63,58,20.83,broken clouds
Port Blair,IN,11.6667,92.75,84.24,79,20,5.75,mist
Gizo,SB,-8.103,156.8419,84.78,63,63,1.92,broken clouds
Jieshi,CN,22.8134,115.8257,77.95,60,5,11.54,clear sky
Ust-Nera,RU,64.5667,143.2,6.39,90,84,3.22,broken clouds
Puerto Berrio,CO,6.4916,-74.4033,74.97,90,99,2.13,overcast clouds
Biograd Na Moru,HR,43.9433,15.4519,34.5,44,1,6.67,clear sky
Nova Olimpia,BR,-14.7972,-57.2881,73.15,99,100,3.67,heavy intensity rain
Souillac,MU,-20.5167,57.5167,79.18,94,40,5.75,scattered clouds
Radyvyliv,UA,50.1299,25.2558,25.74,56,83,2.84,broken clouds
Aykhal,RU,66.0,111.5,-6.95,91,100,2.44,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,78.75,88,20,4.61,few clouds
Boyuibe,BO,-20.4167,-63.2833,62.62,85,100,8.16,overcast clouds
Namatanai,PG,-3.6667,152.4333,86.5,54,98,5.59,overcast clouds
Norman Wells,CA,65.282,-126.8329,-7.56,64,100,13.8,light snow
Khowst,AF,33.3833,69.8833,62.44,47,88,3.62,overcast clouds
Loanda,AO,-8.8368,13.2343,78.8,89,75,5.75,broken clouds
Victoria,HK,22.2855,114.1577,78.85,72,4,3.0,clear sky
Butaritari,KI,3.0707,172.7902,81.95,77,17,18.14,few clouds
Avarua,CK,-21.2078,-159.775,84.25,74,20,4.61,few clouds
Hithadhoo,MV,-0.6,73.0833,82.06,65,8,4.94,clear sky
Escuinapa,MX,22.85,-105.8,62.13,61,0,4.92,clear sky
Jamestown,US,42.097,-79.2353,29.52,71,100,8.05,light snow
Imbituba,BR,-28.24,-48.6703,71.82,93,100,14.9,light rain
Ballina,AU,-28.8667,153.5667,78.98,67,100,12.66,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-14.82,81,19,6.04,few clouds
Beringovskiy,RU,63.05,179.3167,10.49,78,1,9.84,clear sky
Ust-Maya,RU,60.4167,134.5333,9.99,82,100,5.99,overcast clouds
Eureka,US,40.8021,-124.1637,51.67,83,33,1.48,scattered clouds
Castro,BR,-24.7911,-50.0119,64.15,97,100,2.68,overcast clouds
Vao,NC,-22.6667,167.4833,79.66,71,63,9.73,broken clouds
Gigmoto,PH,13.7796,124.39,82.27,81,76,5.35,broken clouds
Carroll,US,39.5501,-77.0164,47.64,80,0,10.36,clear sky
Ushuaia,AR,-54.8,-68.3,42.46,56,0,10.36,clear sky
Barrow,US,71.2906,-156.7887,-2.18,71,0,9.22,clear sky
Clyde River,CA,70.4692,-68.5914,-27.17,75,0,3.44,clear sky
Axim,GH,4.8699,-2.2405,79.5,87,29,5.06,scattered clouds
Vardo,NO,70.3705,31.1107,31.93,79,100,12.46,overcast clouds
Lewiston,US,44.1003,-70.2148,40.35,93,20,6.91,few clouds
Ancud,CL,-41.8697,-73.8203,57.22,93,0,2.8,clear sky
Tiksi,RU,71.6872,128.8694,-10.44,89,100,9.4,overcast clouds
Kasongo-Lunda,CD,-6.4667,16.8167,68.77,97,96,1.86,overcast clouds
Chelno-Vershiny,RU,54.4333,51.1,-11.6,100,94,4.14,overcast clouds
Piacabucu,BR,-10.4056,-36.4344,77.76,82,100,2.98,overcast clouds
Raga,SS,8.4596,25.678,73.56,26,95,3.42,overcast clouds
Yellowknife,CA,62.456,-114.3525,-0.58,88,100,8.05,light snow
Baruun-Urt,MN,46.6806,113.2792,30.27,48,29,20.38,scattered clouds
Padang,ID,-0.9492,100.3543,86.05,66,75,4.12,broken clouds
Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,5.75,scattered clouds
New Norfolk,AU,-42.7826,147.0587,72.9,35,98,3.0,overcast clouds
Kavaratti,IN,10.5669,72.642,81.99,73,11,4.41,few clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,78.03,87,5,16.89,clear sky
Georgetown,MY,5.4112,100.3354,87.73,74,20,9.22,few clouds
Hofn,IS,64.2539,-15.2082,40.84,97,100,17.05,light rain
Torbay,CA,47.6666,-52.7314,29.75,69,40,14.97,scattered clouds
Xining,CN,36.6167,101.7667,46.92,28,22,1.72,few clouds
Fairview,US,40.8126,-73.999,46.0,86,100,9.22,overcast clouds
Marsh Harbour,BS,26.5412,-77.0636,75.74,83,0,14.29,clear sky
Nanakuli,US,21.3906,-158.1547,84.15,49,0,13.8,clear sky
Whitehorse,CA,60.7161,-135.0538,24.82,88,100,8.05,light snow
Chokurdakh,RU,70.6333,147.9167,-7.28,94,96,8.84,overcast clouds
Svetlogorsk,BY,52.6333,29.7333,27.05,61,100,7.16,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,72.86,66,0,5.44,clear sky
Eichstatt,DE,48.8833,11.1833,32.09,58,100,8.08,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,76.21,82,56,9.69,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,100,9.22,light snow
Maryville,US,35.7565,-83.9705,59.25,85,100,5.75,overcast clouds
Faya,SA,18.3851,42.4509,57.31,85,26,2.01,scattered clouds
Almaznyy,RU,48.0448,40.045,16.12,82,100,12.1,overcast clouds
Festus,US,38.2206,-90.396,30.11,56,100,14.43,overcast clouds
Sackville,CA,45.9188,-64.3846,32.58,91,92,2.84,overcast clouds
Koumac,NC,-20.5667,164.2833,83.48,72,49,5.37,scattered clouds
Do Gonbadan,IR,30.3586,50.7981,62.69,63,100,6.91,overcast clouds
Lensk,RU,60.7253,114.9278,4.68,82,99,6.82,overcast clouds
Coihaique,CL,-45.5752,-72.0662,54.21,76,20,3.44,few clouds
Kruisfontein,ZA,-34.0033,24.7314,70.48,80,100,4.94,overcast clouds
Bilibino,RU,68.0546,166.4372,20.61,63,1,1.79,clear sky
Yafran,LY,32.0633,12.5286,47.66,39,6,9.6,clear sky
Mount Isa,AU,-20.7333,139.5,100.17,17,6,8.05,clear sky
Antalaha,MG,-14.9003,50.2788,74.12,91,100,6.2,overcast clouds
Lavrentiya,RU,65.5833,-171.0,13.95,78,1,9.19,clear sky
Ilobu,NG,7.8333,4.4833,71.8,89,100,2.55,overcast clouds
Cidreira,BR,-30.1811,-50.2056,69.62,68,100,11.16,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,62.37,29,11,3.51,few clouds
Evanston,US,42.0411,-87.6901,20.23,49,0,19.57,clear sky
Mezen,RU,65.8522,44.24,18.93,96,59,6.58,broken clouds
Mount Gambier,AU,-37.8333,140.7667,73.31,33,0,6.91,clear sky
Alofi,NU,-19.0595,-169.9187,80.49,83,99,6.91,overcast clouds
Shushenskoye,RU,53.325,91.9356,6.78,91,100,4.36,overcast clouds
Darhan,MN,49.4867,105.9228,19.98,59,13,3.31,few clouds
Tanete,ID,-3.9443,119.7848,91.67,57,42,3.13,scattered clouds
Rabaul,PG,-4.1967,152.1721,83.84,66,87,8.19,overcast clouds
Narrabri,AU,-30.3167,149.7833,84.52,34,40,4.61,scattered clouds
Saldanha,ZA,-33.0117,17.9442,66.25,87,0,10.04,clear sky
Namibe,AO,-15.1961,12.1522,72.72,80,100,7.23,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,58.87,72,75,3.44,broken clouds
Cayenne,GF,4.9333,-52.3333,79.09,54,20,5.75,few clouds
Lebu,CL,-37.6167,-73.65,58.08,92,0,18.54,clear sky
Komsomolskiy,UZ,40.4272,71.7189,50.72,87,75,2.3,mist
Port Elizabeth,ZA,-33.918,25.5701,66.49,94,0,8.05,clear sky
Palora,EC,-1.7,-77.9333,66.27,97,80,2.3,light rain
Rauma,FI,61.1272,21.5113,24.84,96,53,4.81,broken clouds
Malinovoye Ozero,RU,51.6753,79.7825,10.87,74,100,11.39,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,6.06,76,20,9.22,few clouds
Emporia,US,38.4039,-96.1817,25.0,68,0,8.05,clear sky
Omsukchan,RU,62.5333,155.8,13.44,89,92,5.7,overcast clouds
Aras,ES,42.5617,-2.356,43.21,81,100,4.61,overcast clouds
Bani,DO,18.2833,-70.3333,77.86,82,16,10.78,few clouds
Kokopo,PG,-4.352,152.2633,85.91,61,84,7.85,broken clouds
Kathmandu,NP,27.7167,85.3167,64.62,63,20,2.3,haze
Waitati,NZ,-45.75,170.5667,64.8,56,62,9.84,broken clouds
Changping,CN,40.2186,116.2197,47.84,53,100,2.66,overcast clouds
Brae,GB,60.3964,-1.353,44.06,84,75,38.97,broken clouds
Mabama,TZ,-5.1333,32.5333,64.71,93,94,3.67,overcast clouds
Karratha,AU,-20.7377,116.8463,95.92,34,3,1.16,clear sky
Tual,ID,-5.6667,132.75,83.25,75,96,8.05,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,72.68,54,0,12.15,clear sky
Codrington,AU,-38.2667,141.9667,70.43,39,0,9.82,clear sky
La Orilla,MX,17.9833,-102.2333,71.85,77,100,6.08,overcast clouds
Toora-Khem,RU,52.4675,96.11,9.03,91,100,1.25,overcast clouds
Sassandra,CI,4.95,-6.0833,77.7,93,11,4.74,few clouds
Dingle,PH,10.9995,122.6711,87.39,66,92,6.02,overcast clouds
Glendive,US,47.1053,-104.7125,19.02,50,100,10.36,overcast clouds
Portland,US,45.5234,-122.6762,52.61,63,0,3.0,clear sky
Gat,IL,31.61,34.7642,47.39,100,100,10.11,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.55,96,37,1.01,scattered clouds
Tahta,EG,26.7693,31.5021,53.26,39,100,13.58,overcast clouds
Sitka,US,57.0531,-135.33,42.69,81,100,5.75,overcast clouds
Haines Junction,CA,60.7522,-137.5108,26.55,86,100,8.05,overcast clouds
Cherskiy,RU,68.75,161.3,5.34,80,67,3.42,broken clouds
Chuy,UY,-33.6971,-53.4616,57.76,79,0,7.16,clear sky
La Rioja,ES,42.25,-2.5,38.98,94,100,3.44,overcast clouds
Asmara,ER,15.3333,38.9333,53.1,82,53,3.89,broken clouds
Sainte-Thecle,CA,46.8168,-72.4991,24.85,97,100,5.5,snow
Berlevag,NO,70.8578,29.0864,31.89,81,100,11.01,overcast clouds
Crestview,US,30.7621,-86.5705,69.51,80,100,4.61,overcast clouds
Pacocha,PE,-17.5833,-71.3333,70.83,89,75,4.16,broken clouds
Ust-Kuyga,RU,70.0167,135.6,-0.29,93,83,4.5,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,31.86,98,100,1.57,light snow
Puerto Narino,CO,-3.7703,-70.3831,73.22,90,78,1.74,broken clouds
San Cristobal,VE,7.7669,-72.225,68.18,95,65,2.44,broken clouds
Dawson Creek,CA,55.7666,-120.2362,40.64,56,0,14.97,clear sky
Provideniya,RU,64.3833,-173.3,25.07,57,0,11.1,clear sky
Mecca,SA,21.4267,39.8261,64.69,61,0,6.31,clear sky
Ternate,ID,0.8,127.4,85.62,68,62,3.67,broken clouds
Vilyuysk,RU,63.7553,121.6247,6.48,85,100,6.93,overcast clouds
Paamiut,GL,61.994,-49.6678,7.88,87,100,25.3,overcast clouds
Te Anau,NZ,-45.4167,167.7167,67.28,43,21,1.63,few clouds
Anadyr,RU,64.75,177.4833,23.5,54,0,2.24,clear sky
Airai,TL,-8.9266,125.4092,74.98,61,100,2.68,overcast clouds
Leon,MX,21.1167,-101.6667,69.85,15,0,2.26,clear sky
Tezu,IN,27.9167,96.1667,85.77,15,65,3.51,broken clouds
Okhotsk,RU,59.3833,143.3,18.61,74,100,15.32,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,73.92,58,0,10.33,clear sky
Mataram,ID,-8.5833,116.1167,92.21,74,79,9.42,light rain
Nata,PA,8.3333,-80.5167,75.4,79,5,7.54,clear sky
Salalah,OM,17.0151,54.0924,72.61,47,48,1.97,scattered clouds
Solginskiy,RU,61.05,41.3428,19.67,99,99,3.11,overcast clouds
Sistranda,NO,63.7256,8.834,40.96,57,0,5.99,clear sky
Stara Vyzhivka,UA,51.4376,24.44,27.86,48,100,5.1,overcast clouds
Kodiak,US,57.79,-152.4072,40.51,81,100,5.75,overcast clouds
Esperance,AU,-33.8667,121.9,80.44,46,100,5.7,overcast clouds
Tevaitoa,PF,-16.7833,-151.5,81.82,69,12,10.58,few clouds
Leningradskiy,RU,69.3833,178.4167,7.23,76,0,0.92,clear sky
Ribeira Grande,PT,38.5167,-28.7,58.51,75,100,12.24,overcast clouds
Dickinson,US,29.4608,-95.0513,42.98,79,100,28.77,overcast clouds
Carutapera,BR,-1.195,-46.02,73.85,95,100,2.84,overcast clouds
Tarata,BO,-17.6167,-66.0167,57.07,86,100,4.45,overcast clouds
Upernavik,GL,72.7868,-56.1549,-17.1,100,100,9.33,overcast clouds
Iqaluit,CA,63.7506,-68.5145,-24.07,76,20,4.61,few clouds
Cacapava Do Sul,BR,-30.5122,-53.4914,52.38,85,1,2.86,clear sky
Bulawayo,ZW,-20.15,28.5833,58.48,76,29,10.8,scattered clouds
Pacific Grove,US,36.6177,-121.9166,58.01,83,0,3.44,clear sky
Thompson,CA,55.7435,-97.8558,-12.84,70,75,0.0,broken clouds
Narsaq,GL,60.9167,-46.05,8.82,88,98,4.56,overcast clouds
Crateus,BR,-5.1783,-40.6775,69.82,98,100,3.6,overcast clouds
Stevens Point,US,44.5236,-89.5746,11.19,56,0,6.91,clear sky
Voka,EE,59.3997,27.5817,28.2,95,73,6.17,broken clouds
Tongliao,CN,43.6125,122.2653,32.18,98,100,13.27,snow
Luderitz,NA,-26.6481,15.1594,67.95,81,56,6.49,broken clouds
Pemex,MX,18.4395,-96.3461,74.46,80,2,6.08,clear sky
Kulmbach,DE,50.1,11.45,32.34,35,49,3.67,scattered clouds
Cap Malheureux,MU,-19.9842,57.6142,80.47,85,44,3.0,scattered clouds
Verkhoyansk,RU,67.5447,133.385,2.23,78,64,2.39,broken clouds
Palmer,US,42.1584,-72.3287,41.61,68,100,9.22,overcast clouds
Oussouye,SN,12.485,-16.5469,69.98,32,3,4.27,clear sky
Carnarvon,AU,-24.8667,113.6333,82.47,69,1,13.8,clear sky
Jorpeland,NO,59.0225,6.0408,41.14,10,2,19.15,clear sky
Kirensk,RU,57.7853,108.1119,6.6,86,100,3.29,overcast clouds
Yar-Sale,RU,66.8333,70.8333,-4.5,99,87,11.45,overcast clouds
Novopskov,UA,49.5464,39.0899,0.55,96,6,5.37,clear sky
Bereda,ES,43.2686,-7.5406,40.41,90,62,4.76,broken clouds
Xudat,AZ,41.631,48.681,35.96,81,98,15.86,overcast clouds
Nicoya,CR,10.1483,-85.452,76.73,73,18,1.39,few clouds
Saint-Georges,GD,12.0564,-61.7485,78.48,73,20,18.41,few clouds
Dalvik,IS,65.9702,-18.5286,39.13,90,100,6.11,overcast clouds
Waddan,LY,29.1614,16.139,47.34,49,0,6.53,clear sky
Tuatapere,NZ,-46.1333,167.6833,61.07,68,54,11.79,broken clouds
Iskateley,RU,67.6803,53.1512,25.83,95,99,16.62,light snow
Ihosy,MG,-22.4,46.1167,68.77,92,100,8.23,overcast clouds
Geraldton,AU,-28.7667,114.6,79.21,65,24,12.66,few clouds
Lekoni,GA,-1.5843,14.2591,73.6,87,100,1.28,overcast clouds
Klaksvik,FO,62.2266,-6.589,45.52,95,100,41.14,overcast clouds
Dinguiraye,GN,11.3,-10.7167,74.1,19,51,2.55,broken clouds
Capaci,IT,38.1711,13.2393,49.24,79,0,4.61,clear sky
Ornes,NO,66.8689,13.7078,40.53,61,0,10.38,clear sky
Huntington,US,38.4193,-82.4452,40.12,83,100,12.66,mist
Verkhnevilyuysk,RU,63.4453,120.3167,5.27,86,100,3.58,overcast clouds
Ialibu,PG,-6.2821,143.9935,66.85,84,68,3.47,broken clouds
Labuhan,ID,-6.8844,112.2051,84.99,71,100,7.43,overcast clouds
Caravelas,BR,-17.7125,-39.2481,75.07,87,8,2.82,clear sky
Tshikapa,CD,-6.4167,20.8,71.49,97,100,2.51,light rain
Lompoc,US,34.6391,-120.4579,57.78,61,0,11.01,clear sky
Ilulissat,GL,69.2167,-51.1,5.02,72,75,4.61,broken clouds
Ereymentau,KZ,51.6199,73.1033,7.29,93,100,17.52,light snow
Arman,RU,59.7,150.1667,34.02,67,81,3.58,broken clouds
Grindavik,IS,63.8424,-22.4338,37.35,75,75,14.97,broken clouds
Ketchikan,US,55.3422,-131.6461,43.27,87,100,9.22,light rain
Botwood,CA,49.1499,-55.3482,18.72,74,90,7.38,overcast clouds
Nordhorn,DE,52.4333,7.0833,46.94,50,100,12.57,overcast clouds
Paracuru,BR,-3.41,-39.0306,78.12,89,100,3.0,overcast clouds
Siddapur,IN,14.3333,74.8833,85.6,29,21,3.58,few clouds
Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,28.59,snow
Mankono,CI,8.0586,-6.1897,78.4,72,97,6.78,overcast clouds
Kloulklubed,PW,7.0419,134.2556,81.1,81,99,11.16,overcast clouds
Sur,OM,22.5667,59.5289,81.45,43,90,5.88,overcast clouds
Ugoofaaru,MV,5.6667,73.0,82.67,68,7,5.35,clear sky
Dolores,AR,-36.3132,-57.6792,48.63,85,0,4.68,clear sky
Camabatela,AO,-8.1881,15.375,63.99,99,100,4.09,overcast clouds
Asyut,EG,27.181,31.1837,50.36,47,83,12.26,broken clouds
Tilichiki,RU,60.4667,166.1,15.17,82,41,6.24,scattered clouds
Rio Gallegos,AR,-51.6226,-69.2181,41.05,75,0,3.44,clear sky
Valle De Allende,MX,26.9333,-105.4,45.66,38,0,14.61,clear sky
Boshnyakovo,RU,49.6333,142.1667,26.73,95,100,10.85,light snow
Weiser,US,44.251,-116.9693,43.0,54,95,5.5,overcast clouds
Finschhafen,PG,-6.6024,147.8681,83.95,76,72,6.13,broken clouds
Zhigansk,RU,66.7697,123.3711,1.29,91,100,8.66,overcast clouds
Arica,CL,-18.475,-70.3042,70.03,73,100,3.44,overcast clouds
Avenal,US,36.0041,-120.129,58.77,30,0,0.67,clear sky
Muros,ES,42.7762,-9.0603,48.09,89,99,18.3,overcast clouds
Morros,BR,-9.4467,-46.3003,71.82,92,100,3.24,overcast clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.82,93,100,2.91,overcast clouds
Eyemouth,GB,55.8713,-2.0901,46.24,92,69,14.0,broken clouds
Sorong,ID,-0.8833,131.25,82.78,77,99,4.85,overcast clouds
Thinadhoo,MV,0.5333,72.9333,82.29,71,16,5.08,few clouds
Port Hedland,AU,-20.3167,118.5667,104.05,21,5,10.36,clear sky
Pflugerville,US,30.4394,-97.62,39.4,63,100,16.11,overcast clouds
Richards Bay,ZA,-28.783,32.0377,72.82,86,53,4.18,broken clouds
Omigawa,JP,35.85,140.6167,66.65,46,4,7.16,clear sky
Nsanje,MW,-16.92,35.262,72.21,98,100,6.06,overcast clouds
Neufahrn,DE,48.25,12.4333,29.86,62,88,5.26,overcast clouds
Champerico,GT,14.3,-91.9167,81.27,67,99,7.05,overcast clouds
Kogon,UZ,39.7228,64.5517,55.44,94,40,11.5,scattered clouds
Kukushtan,RU,57.6464,56.4952,-15.18,94,25,3.2,scattered clouds
Constitucion,CL,-35.3333,-72.4167,56.17,81,0,2.1,clear sky
Umm Kaddadah,SD,13.6017,26.6876,63.27,18,100,14.72,overcast clouds
Kharan,PK,28.5833,65.4167,76.23,31,71,1.66,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,83,75,4.61,broken clouds
San Isidro,PE,-12.1167,-77.05,72.5,64,0,9.22,clear sky
Houston,US,29.7633,-95.3633,41.31,76,100,24.16,overcast clouds
Faanui,PF,-16.4833,-151.75,82.02,68,12,11.41,few clouds
Pafos,CY,34.7667,32.4167,42.58,70,75,4.61,broken clouds
Gamba,GA,-2.65,10.0,75.36,88,100,4.03,overcast clouds
Normandin,CA,48.8333,-72.5321,16.11,73,93,2.3,overcast clouds
Laizhou,CN,37.1717,119.9214,54.97,62,100,10.13,light rain
Quelimane,MZ,-17.8786,36.8883,80.55,94,75,24.16,moderate rain
Bamiantong,CN,44.9333,130.5333,32.0,73,64,2.53,broken clouds
Malasila,PH,6.9439,125.1294,85.6,69,87,1.5,overcast clouds
Matata,NZ,-37.8833,176.75,73.85,61,0,8.84,clear sky
Phangnga,TH,8.4509,98.5298,89.64,50,26,1.12,scattered clouds
Portel,BR,-1.9356,-50.8211,73.17,94,100,3.09,overcast clouds
Ahipara,NZ,-35.1667,173.1667,71.37,66,97,5.84,overcast clouds
Lakselv,NO,70.0513,24.9718,35.42,87,100,0.0,overcast clouds
Meadow Lake,US,34.8014,-106.5436,39.33,31,0,10.85,clear sky
Zapolyarnyy,RU,69.4154,30.8136,31.28,99,100,4.21,overcast clouds
Saint-Francois,FR,46.4154,3.9054,45.84,71,100,6.91,light rain
