City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Plainview,US,40.7765,-73.4673,46.27,81,100,6.91,overcast clouds
Lobito,AO,-12.3481,13.5456,77.77,83,100,2.82,overcast clouds
Melo,UY,-32.3667,-54.1833,56.26,80,17,5.91,few clouds
Kavieng,PG,-2.5744,150.7967,85.44,62,88,6.24,overcast clouds
Hamilton,US,39.1834,-84.5333,29.32,85,100,14.97,light snow
Lusambo,CD,-4.9667,23.45,69.42,99,100,1.59,overcast clouds
Nelson Bay,AU,-32.7167,152.15,76.1,57,41,1.99,scattered clouds
Isangel,VU,-19.55,169.2667,84.31,79,75,2.3,broken clouds
Cockburn Town,TC,21.4612,-71.1419,77.72,83,0,21.21,clear sky
Fortuna,US,40.5982,-124.1573,48.97,89,100,0.0,overcast clouds
Aranos,NA,-24.1333,19.1167,72.32,41,2,11.9,clear sky
Hirara,JP,24.8,125.2833,76.86,57,20,14.97,few clouds
Sooke,CA,48.3746,-123.7276,44.56,62,100,2.3,overcast clouds
Belaya Gora,RU,68.5333,146.4167,0.52,88,18,1.61,few clouds
Boulder,US,40.0833,-105.3505,23.31,59,0,3.44,clear sky
Mountain Home,US,43.133,-115.6912,36.88,100,75,5.75,broken clouds
Otradnoye,RU,59.7775,30.8181,32.04,98,100,3.83,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,80.1,82,72,11.83,broken clouds
Whangamata,NZ,-37.2,175.8667,73.02,63,42,6.62,scattered clouds
Havelock,US,34.8791,-76.9013,62.55,96,100,3.44,overcast clouds
Sinnamary,GF,5.3833,-52.95,76.12,89,99,8.63,overcast clouds
De Aar,ZA,-30.6497,24.0123,72.64,56,56,10.4,broken clouds
Rognan,NO,67.0953,15.3878,41.14,74,3,8.08,clear sky
Nanortalik,GL,60.1432,-45.2371,14.34,77,98,31.23,overcast clouds
Panguna,PG,-6.3164,155.4848,82.65,51,15,2.35,few clouds
Prieska,ZA,-29.6641,22.7474,71.71,71,93,1.34,light rain
Tiznit,MA,29.5833,-9.5,51.33,72,48,2.42,scattered clouds
Willowmore,ZA,-33.2926,23.4895,72.79,64,100,4.56,overcast clouds
Kashmor,PK,28.4333,69.5833,85.96,23,15,7.4,few clouds
Guilin,CN,25.2819,110.2864,71.71,61,100,4.36,overcast clouds
Husavik,IS,66.0449,-17.3389,37.18,97,100,3.85,overcast clouds
Suntar,RU,62.1444,117.6319,5.79,80,68,5.06,broken clouds
Merauke,ID,-8.4667,140.3333,80.87,79,100,5.39,overcast clouds
Pineville,US,31.3224,-92.4343,44.49,85,100,18.41,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,22.06,95,77,13.47,broken clouds
Nome,US,64.5011,-165.4064,28.47,40,0,24.16,clear sky
Can,TR,40.0333,27.0524,23.59,75,46,0.98,scattered clouds
Verkhnyaya Inta,RU,65.9811,60.3094,15.03,88,100,19.82,light snow
Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,48,0,23.02,clear sky
Chase,CA,50.8165,-119.6857,33.33,96,100,3.22,overcast clouds
Bengkulu,ID,-3.8004,102.2655,84.83,66,58,7.09,broken clouds
Kilembe,UG,0.2,30.0,63.52,64,100,3.42,overcast clouds
Najran,SA,17.4924,44.1277,65.05,53,16,5.39,few clouds
Lagoa,PT,39.05,-27.9833,56.07,74,100,12.35,overcast clouds
Chama,CH,47.1821,8.4636,41.85,87,100,0.0,overcast clouds
Mandvi,IN,22.8333,69.3667,82.26,42,0,3.18,clear sky
Siva,EG,29.2041,25.5195,50.34,56,12,6.55,few clouds
Orlik,RU,52.5178,99.825,6.69,79,65,1.57,broken clouds
Udachnyy,RU,66.4167,112.4,-9.27,89,100,2.98,overcast clouds
Tomatlan,MX,19.9333,-105.25,62.53,87,0,2.71,clear sky
Llangefni,GB,53.2556,-4.3106,48.65,93,75,16.11,broken clouds
General Roca,AR,-39.0333,-67.5833,64.62,35,0,10.6,clear sky
Diamantino,BR,-14.4086,-56.4461,72.18,94,100,0.25,overcast clouds
Vaitape,PF,-16.5167,-151.75,82.0,68,12,11.23,few clouds
Kaitangata,NZ,-46.2817,169.8464,62.96,57,57,11.16,broken clouds
Praia Da Vitoria,PT,38.7333,-27.0667,57.45,94,40,12.59,scattered clouds
Nakambala,ZM,-15.8324,27.7799,63.21,94,84,4.68,broken clouds
North Platte,US,41.1239,-100.7654,18.25,60,0,3.44,clear sky
Mackay,AU,-21.15,149.2,81.68,78,75,26.46,broken clouds
Mnogovershinnyy,RU,53.9353,139.9242,18.19,63,86,3.09,overcast clouds
Lafia,NG,8.4833,8.5167,83.37,54,77,6.35,broken clouds
Yenagoa,NG,4.9247,6.2642,75.76,90,100,3.04,overcast clouds
Trairi,BR,-3.2778,-39.2689,74.57,92,100,3.24,overcast clouds
Lucapa,AO,-8.4192,20.7447,64.65,98,100,3.06,light rain
Palana,RU,59.1167,159.9667,20.12,67,0,1.19,clear sky
Oranjemund,NA,-28.55,16.4333,65.7,91,23,1.72,few clouds
Miri,MY,4.4148,114.0089,77.14,100,40,1.14,heavy intensity rain
Esso,RU,55.9333,158.7,23.2,81,98,4.68,overcast clouds
Suihua,CN,46.6406,126.9969,31.51,82,100,8.93,overcast clouds
Barrancas,CO,10.9576,-72.7877,74.14,92,92,2.77,overcast clouds
Lere,NG,10.387,8.5726,70.81,27,7,4.07,clear sky
San Alberto,CO,7.7611,-73.3922,76.33,87,100,2.53,overcast clouds
Pucara,PE,-15.9803,-71.4606,32.13,81,95,3.87,light snow
Rincon,US,32.296,-81.2354,64.36,96,100,6.91,overcast clouds
Falmouth,GB,50.1544,-5.0711,46.98,81,40,16.11,scattered clouds
Talnakh,RU,69.4865,88.3972,-20.43,96,74,9.22,broken clouds
Altay,CN,47.8667,88.1167,32.52,87,100,1.68,light snow
Suining,CN,30.508,105.5733,74.53,56,100,2.66,overcast clouds
Tessalit,ML,20.1986,1.0114,67.35,17,0,8.37,clear sky
San Buenaventura,MX,27.0833,-101.5333,48.88,33,0,11.48,clear sky
Polis,CY,35.0367,32.4264,42.62,76,91,14.05,overcast clouds
Monterey,US,36.2505,-121.2516,47.32,45,0,5.14,clear sky
Norsup,VU,-16.0667,167.3833,84.31,70,31,5.23,scattered clouds
Esenyurt,TR,41.0333,28.6753,28.76,80,75,14.97,broken clouds
Colwyn Bay,GB,53.2948,-3.7267,48.74,93,100,5.99,light rain
Tahe,CN,52.3333,124.7333,23.22,54,60,4.05,broken clouds
Linxia,CN,35.6003,103.2064,56.3,31,100,2.64,overcast clouds
Falam,MM,22.9167,93.6833,81.88,19,66,3.04,broken clouds
Carndonagh,IE,55.25,-7.2667,41.05,95,100,3.29,overcast clouds
Spornoye,RU,50.8448,37.2913,-6.86,100,78,3.8,broken clouds
Asfi,MA,32.2994,-9.2372,58.35,85,90,2.39,overcast clouds
Dunedin,NZ,-45.8742,170.5036,64.8,56,72,13.0,broken clouds
Pemberton,CA,50.3164,-122.8027,36.75,96,99,5.68,overcast clouds
Gornopravdinsk,RU,60.05,69.9,-4.54,100,100,5.19,overcast clouds
Moree,AU,-29.4667,149.85,87.82,33,13,6.91,few clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,16.12,69,79,4.47,broken clouds
Ponta Delgada,PT,37.7333,-25.6667,60.49,88,75,8.05,broken clouds
Taoudenni,ML,22.6783,-3.9836,65.64,17,0,10.38,clear sky
Upington,ZA,-28.4478,21.2561,73.78,88,75,3.44,broken clouds
Worthington,US,40.0931,-83.018,29.17,82,100,9.22,snow
Bermejo,AR,-32.8833,-68.8,66.11,55,0,0.0,clear sky
Molina,CL,-35.1167,-71.2833,65.93,55,0,3.44,clear sky
Candido Mendes,BR,-1.4467,-45.7167,73.24,96,100,1.79,overcast clouds
Honiara,SB,-9.4333,159.95,82.8,80,86,2.3,heavy intensity rain
Arawa,PG,-6.2132,155.5367,87.19,55,13,5.48,few clouds
Shaping,CN,22.7545,112.9565,81.95,40,5,7.9,clear sky
Gaya,IN,24.7833,85.0,71.51,64,0,6.91,haze
Ariquemes,BR,-9.9133,-63.0408,72.61,98,100,0.6,overcast clouds
Yulara,AU,-25.2406,130.9889,93.04,11,0,10.36,clear sky
Sebring,US,27.4956,-81.4409,73.89,85,0,5.75,clear sky
Manicore,BR,-5.8092,-61.3003,72.55,97,70,1.95,heavy intensity rain
Novyy Urengoy,RU,66.0833,76.6333,-9.26,97,21,8.97,few clouds
Buchanan,LR,5.8808,-10.0467,79.18,90,99,2.91,overcast clouds
Salym,RU,60.0625,71.4789,-4.95,99,100,5.1,overcast clouds
Kieta,PG,-6.2167,155.6333,85.23,59,12,5.84,few clouds
Valley,US,45.1277,-116.1262,23.61,55,97,5.91,overcast clouds
Mabaruma,GY,8.2,-59.7833,71.62,99,63,2.51,broken clouds
Matara,LK,5.9485,80.5353,84.0,68,63,2.77,broken clouds
Shyroke,UA,47.6917,33.2571,17.91,80,47,10.8,scattered clouds
Chapleau,CA,47.8405,-83.4034,-2.87,99,71,5.46,broken clouds
Necochea,AR,-38.5473,-58.7368,53.51,77,0,3.53,clear sky
Poum,NC,-20.2333,164.0167,82.45,71,3,2.19,clear sky
Lomovka,RU,53.9194,58.3672,1.6,93,88,3.85,overcast clouds
Saint-Louis,SN,16.3333,-15.0,76.64,9,0,12.41,clear sky
Touho,NC,-20.7833,165.2333,81.88,76,10,11.99,clear sky
Marshall,US,34.3834,-86.3333,53.35,71,100,14.97,overcast clouds
Olafsvik,IS,64.8945,-23.7142,38.55,61,100,18.95,overcast clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,66,0,13.8,clear sky
Marysville,US,48.0518,-122.1771,49.39,71,0,5.75,clear sky
Daru,PG,-9.0763,143.2092,83.41,73,99,9.98,moderate rain
Flinders,AU,-34.5833,150.8552,74.48,70,100,8.05,overcast clouds
Chacabuco,AR,-34.6417,-60.4739,55.18,69,0,2.84,clear sky
Pisco,PE,-13.7,-76.2167,69.85,83,0,6.91,clear sky
High Level,CA,58.5169,-117.136,10.51,100,100,3.44,snow
Olavarria,AR,-36.8927,-60.3225,50.18,73,0,5.23,clear sky
El Alto,PE,-4.2714,-81.2147,74.75,80,91,0.96,overcast clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.76,97,99,2.35,overcast clouds
Hasaki,JP,35.7333,140.8333,66.6,56,3,8.14,clear sky
Buala,SB,-8.145,159.5921,83.43,75,55,3.96,light rain
Wanning,CN,18.8003,110.3967,78.17,68,52,9.15,broken clouds
Santa Cruz Das Palmeiras,BR,-21.8269,-47.2486,68.81,93,100,2.1,overcast clouds
Kolvereid,NO,64.8655,11.6047,33.66,82,0,9.4,clear sky
Nosy Varika,MG,-20.5833,48.5333,75.51,90,100,3.67,light rain
Grand Gaube,MU,-20.0064,57.6608,80.38,84,45,3.0,scattered clouds
Tagusao,PH,9.1924,117.8141,85.32,67,98,3.33,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,71.98,78,96,5.41,overcast clouds
Minab,IR,27.1467,57.0801,76.93,55,81,3.2,broken clouds
Pangody,RU,65.85,74.4859,-4.52,97,91,10.49,overcast clouds
Bay Saint Louis,US,30.3088,-89.33,66.29,99,90,14.09,overcast clouds
Saint Anthony,US,45.0205,-93.218,4.95,61,0,19.57,clear sky
San Quintin,MX,30.4833,-115.95,59.43,38,81,4.92,broken clouds
Codajas,BR,-3.8367,-62.0569,73.18,96,45,2.17,scattered clouds
Alice Springs,AU,-23.7,133.8833,89.15,15,0,10.36,clear sky
Tomigusuku,JP,26.185,127.675,73.53,56,40,10.36,scattered clouds
Moron,AR,-34.6534,-58.6198,65.95,73,0,4.54,clear sky
Gaomi,CN,36.3833,119.7528,61.92,48,100,12.97,overcast clouds
Methoni,GR,36.8197,21.7049,42.22,88,100,10.36,overcast clouds
Gomel,BY,52.4345,30.9754,24.78,68,0,8.95,clear sky
Shirokiy,RU,49.758,129.523,22.08,86,100,6.33,overcast clouds
Katsuura,JP,35.1333,140.3,60.73,57,0,9.93,clear sky
Fougeres,FR,48.35,-1.2,44.46,97,69,10.29,broken clouds
Kudahuvadhoo,MV,2.6708,72.8944,82.62,68,13,8.12,few clouds
Dong Xoai,VN,11.5333,106.9167,94.77,35,88,2.39,overcast clouds
Novoagansk,RU,61.9449,76.6625,-0.9,93,100,9.08,overcast clouds
Shingu,JP,33.7333,135.9833,69.42,46,29,5.95,scattered clouds
Yen Bai,VN,21.7,104.8667,69.37,92,100,1.88,overcast clouds
Chapais,CA,49.7834,-74.8492,13.78,96,100,5.3,overcast clouds
Aksha,RU,50.2814,113.2867,25.34,57,100,12.44,overcast clouds
Nalut,LY,30.3333,10.85,48.56,33,1,7.78,clear sky
San Antonio,US,29.4241,-98.4936,42.06,53,0,24.16,clear sky
Ust-Barguzin,RU,53.45,108.9833,13.62,79,79,1.34,broken clouds
Liuzhou,CN,24.3126,109.3892,79.27,50,76,11.32,broken clouds
Saint-Augustin,CA,51.226,-58.6502,-11.9,91,2,6.11,clear sky
Camana,PE,-16.6228,-72.7111,72.28,87,44,5.7,scattered clouds
Camacha,PT,33.0833,-16.3333,54.82,82,20,5.75,few clouds
Itarema,BR,-2.9248,-39.9167,75.47,89,100,2.91,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,82.02,63,84,8.99,broken clouds
Sonamura,IN,23.4719,91.2664,77.0,18,100,5.73,overcast clouds
Reyes,BO,-14.3167,-67.3833,72.25,99,100,5.91,heavy intensity rain
Sakaiminato,JP,35.55,133.2333,66.18,59,20,11.5,few clouds
Beloha,MG,-25.1667,45.05,75.06,85,21,12.68,few clouds
Araouane,ML,18.9048,-3.5265,65.37,14,0,12.28,clear sky
Leshukonskoye,RU,64.8989,45.7622,22.91,96,97,6.35,overcast clouds
Saravan,AM,39.7196,45.6483,23.7,83,100,2.19,overcast clouds
Orbetello,IT,42.4408,11.2196,44.62,87,100,1.14,overcast clouds
Poronaysk,RU,49.2167,143.1167,28.89,94,100,12.93,light snow
Rajauri,IN,33.3833,74.3,71.69,31,14,0.49,few clouds
Broome,US,42.2506,-75.833,46.85,69,100,8.05,overcast clouds
Itaituba,BR,-4.2761,-55.9836,73.13,99,100,1.74,overcast clouds
Gilbues,BR,-9.8317,-45.3439,73.42,83,98,1.48,overcast clouds
Alibag,IN,18.6411,72.8792,86.07,47,0,3.56,clear sky
Nizwa,OM,22.9333,57.5333,78.58,29,17,1.28,few clouds
Baiyin,CN,36.5583,104.2081,56.48,22,69,11.59,broken clouds
Kimbe,PG,-5.5502,150.1429,86.27,67,42,5.14,light rain
Pointe Michel,DM,15.25,-61.3833,77.04,81,26,18.37,scattered clouds
Alcains,PT,39.9164,-7.4566,39.52,91,75,1.79,broken clouds
Mehamn,NO,71.0357,27.8492,30.7,82,100,6.89,overcast clouds
Sirnak,TR,37.5228,42.4594,23.16,95,100,5.97,light snow
Vanavara,RU,60.34,102.2797,-3.26,86,96,5.08,overcast clouds
Marfino,RU,55.7028,37.3822,24.94,56,0,4.47,clear sky
Russas,BR,-4.9403,-37.9758,74.84,91,100,1.03,overcast clouds
Kirishi,RU,59.4471,32.0205,30.34,96,100,3.78,overcast clouds
Tavda,RU,58.0425,65.2726,-5.26,98,100,4.61,overcast clouds
Tuxpan,MX,19.55,-103.4,57.18,48,2,2.73,clear sky
Yumen,CN,40.2833,97.2,58.48,14,100,12.5,overcast clouds
Lasa,IT,46.6166,10.7002,33.69,95,100,2.35,overcast clouds
Benguela,AO,-12.5763,13.4055,77.31,84,100,2.24,overcast clouds
Deputatskiy,RU,69.3,139.9,-1.89,91,50,2.44,scattered clouds
Bonthe,SL,7.5264,-12.505,76.59,89,100,1.48,overcast clouds
Kenai,US,60.5544,-151.2583,38.03,96,100,11.5,overcast clouds
Diego De Almagro,CL,-26.3667,-70.05,63.39,50,1,0.2,clear sky
Maracas,BR,-13.4411,-40.4308,62.65,91,36,1.95,scattered clouds
Touros,BR,-5.1989,-35.4608,78.69,81,100,4.76,overcast clouds
Mae Hong Son,TH,19.3003,97.9685,84.34,61,20,2.3,haze
Albanel,CA,48.8832,-72.4487,15.94,73,90,2.3,overcast clouds
Ipixuna,BR,-1.7625,-48.8043,72.52,99,100,2.55,overcast clouds
Gravdal,NO,68.1214,13.5031,39.18,80,10,8.97,clear sky
Seoul,KR,37.5683,126.9778,63.97,48,75,9.22,haze
Susanville,US,40.4163,-120.653,39.67,51,0,4.61,clear sky
Pastavy,BY,55.1168,26.8326,26.06,72,100,8.46,overcast clouds
Garbolovo,RU,60.3413,30.4955,32.18,98,92,2.42,overcast clouds
Cabedelo,BR,-6.9811,-34.8339,77.67,78,47,5.08,scattered clouds
Virgilio,IT,45.1195,10.7905,41.95,79,100,6.33,overcast clouds
Avera,US,33.194,-82.5271,55.38,98,100,4.18,overcast clouds
Tabas,IR,33.5959,56.9244,75.07,26,3,5.32,clear sky
College,US,64.8569,-147.8028,17.92,37,20,8.05,few clouds
Olinda,BR,-8.0089,-34.8553,82.13,69,40,4.61,scattered clouds
Muzhi,RU,65.3667,64.6667,8.71,90,100,10.4,overcast clouds
Skelleftea,SE,64.7507,20.9528,26.01,69,17,3.44,few clouds
Tura,IN,25.5198,90.2201,87.19,16,1,3.42,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,40.69,53,100,17.07,overcast clouds
Saint George,US,37.1041,-113.5841,52.63,16,0,12.66,clear sky
Moose Factory,CA,51.2585,-80.6094,12.2,57,20,6.91,few clouds
Iberia,US,29.9502,-91.7507,62.6,77,100,13.8,overcast clouds
Nancha,CN,47.1333,129.2667,35.65,48,63,2.24,broken clouds
Montepuez,MZ,-13.1256,38.9997,67.26,97,100,4.09,overcast clouds
Sobolevo,RU,54.4299,31.8996,20.64,94,100,6.35,overcast clouds
Katherine,AU,-14.4667,132.2667,91.72,55,44,3.44,scattered clouds
Saint-Michel-Des-Saints,CA,46.6834,-73.9159,24.94,97,100,3.74,snow
Kutum,SD,14.2,24.6667,59.38,23,100,6.17,overcast clouds
Scalea,IT,39.813,15.7956,41.5,58,3,11.23,clear sky
Benalla,AU,-36.55,145.9833,78.55,29,40,6.64,scattered clouds
Kununurra,AU,-15.7667,128.7333,85.98,70,85,5.75,overcast clouds
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.67,72,100,2.91,overcast clouds
Upata,VE,8.0086,-62.3989,71.19,92,94,6.02,overcast clouds
Nichinan,JP,31.6,131.3667,67.68,56,2,6.4,clear sky
Salinopolis,BR,-0.6136,-47.3561,73.74,92,100,1.14,overcast clouds
Shaoyang,CN,27.2315,111.4525,77.4,55,50,6.02,scattered clouds
Tigil,RU,57.8,158.6667,25.45,76,6,4.83,clear sky
Nantucket,US,41.2835,-70.0995,44.71,93,100,11.5,overcast clouds
Viransehir,TR,37.2353,39.7631,32.4,85,38,4.68,scattered clouds
Zhongshu,CN,24.5167,103.7667,75.7,37,12,14.72,few clouds
Homer,US,59.6425,-151.5483,39.78,86,75,3.0,broken clouds
Nyurba,RU,63.2842,118.3319,4.55,85,100,4.21,overcast clouds
Rio Pardo De Minas,BR,-15.6097,-42.5397,64.08,86,22,3.04,few clouds
Balad,IQ,34.0164,44.1453,51.21,50,100,5.99,overcast clouds
Nynashamn,SE,58.9034,17.9479,32.61,63,89,8.93,overcast clouds
Burnie,AU,-41.0667,145.9167,69.93,60,18,6.4,few clouds
Lincoln,US,40.8,-96.667,15.3,50,0,9.22,clear sky
Coffs Harbour,AU,-30.3,153.1333,75.13,68,100,10.36,overcast clouds
Moulins,FR,46.5,3.3333,44.26,95,100,7.65,light rain
Cumra,TR,37.5732,32.7745,17.74,93,92,3.13,overcast clouds
Micomeseng,GQ,2.1462,10.6164,69.37,99,99,1.39,light rain
Puerto Madryn,AR,-42.7692,-65.0385,68.18,51,5,20.56,clear sky
San Joaquin,US,37.9333,-121.3011,61.05,29,0,3.44,clear sky
Ayagoz,KZ,47.9714,80.4392,24.39,96,100,7.27,light snow
Aksarayskiy,RU,46.7924,48.0119,27.14,71,100,11.65,overcast clouds
Port-Cartier,CA,50.0334,-66.8654,5.76,96,64,5.19,broken clouds
Mpika,ZM,-11.8343,31.4529,61.27,98,99,7.9,overcast clouds
Along,IN,28.1667,94.7667,84.43,29,55,1.36,broken clouds
Alekseyevskaya,RU,50.2896,42.1845,-7.28,100,97,4.59,overcast clouds
Takoradi,GH,4.8845,-1.7554,79.65,86,58,4.45,broken clouds
Saint-Leu,RE,-21.15,55.2833,79.32,75,78,9.31,broken clouds
Meulaboh,ID,4.1363,96.1285,85.05,66,86,1.07,overcast clouds
Iwanai,JP,42.9744,140.5089,38.12,72,97,13.0,overcast clouds
Samarai,PG,-10.6167,150.6667,85.62,71,86,14.92,overcast clouds
Abu Zabad,SD,12.35,29.25,67.08,18,74,14.7,broken clouds
Bandarbeyla,SO,9.4942,50.8122,78.42,63,86,12.53,overcast clouds
Zheleznodorozhnyy,RU,55.7503,38.0042,25.21,97,100,2.95,overcast clouds
Karwar,IN,14.8,74.1333,85.8,59,60,4.63,broken clouds
Limon,CR,10.0,-83.0333,75.04,84,4,3.98,clear sky
Saint-Joseph,RE,-21.3667,55.6167,76.21,78,45,10.47,scattered clouds
Erdenet,MN,49.0333,104.0833,17.73,65,86,6.08,overcast clouds
Nobeoka,JP,32.5833,131.6667,65.71,55,15,6.89,few clouds
Tari,NG,12.4086,4.4914,78.57,22,12,8.99,few clouds
Brownsville,US,25.9018,-97.4975,53.6,61,100,11.01,overcast clouds
Yantai,CN,37.5333,121.4,54.45,64,100,11.39,overcast clouds
Pa Sang,TH,18.5262,98.9394,99.86,34,18,2.68,few clouds
Trinidad,BO,-14.8333,-64.9,67.95,93,99,5.93,moderate rain
Sao Joao Batista,BR,-27.2761,-48.8494,74.77,99,100,2.24,overcast clouds
Zaranj,AF,30.9667,61.8833,67.96,24,76,2.04,broken clouds
Dowa,MW,-13.654,33.9375,61.21,96,100,4.94,overcast clouds
Caibarien,CU,22.5206,-79.4669,72.72,77,25,10.58,light rain
Madisonville,US,37.3281,-87.4989,26.94,91,100,1.99,light snow
Sanbu,CN,33.4594,119.1453,75.61,44,51,13.58,broken clouds
Jacqueville,CI,5.2052,-4.4146,80.15,88,11,8.43,few clouds
Acari,PE,-15.4311,-74.6158,74.19,83,98,3.38,overcast clouds
Naperville,US,41.7859,-88.1473,19.65,57,0,12.66,clear sky
Coquimbo,CL,-29.9533,-71.3436,60.53,88,75,3.44,broken clouds
Jawar,IN,23.0,76.5,80.46,24,0,6.22,clear sky
Rach Gia,VN,10.0167,105.0833,82.47,74,99,7.94,overcast clouds
Dali,CN,25.7,100.1833,70.9,21,0,5.35,clear sky
Bac Lieu,VN,9.285,105.7244,83.64,63,100,0.74,overcast clouds
Wau,SS,7.7029,27.9953,77.61,25,82,4.34,broken clouds
Pyaozerskiy,RU,65.8333,31.1667,16.81,96,40,3.69,scattered clouds
Puerto Escondido,MX,15.85,-97.0667,77.47,74,5,6.26,clear sky
Tautira,PF,-17.7333,-149.15,81.03,70,4,8.19,clear sky
Kalabo,ZM,-14.97,22.6814,64.92,94,75,4.68,broken clouds
Muisne,EC,0.6,-80.0333,76.23,87,89,3.02,overcast clouds
Andenes,NO,69.3143,16.1194,39.18,93,100,8.05,overcast clouds
Balkhash,KZ,46.844,74.9804,29.01,86,40,11.18,scattered clouds
La Ronge,CA,55.1001,-105.2842,5.25,51,75,5.75,broken clouds
Curuca,BR,-0.7289,-47.8481,71.89,98,100,2.3,overcast clouds
Sola,VU,-13.8833,167.55,83.07,84,75,0.0,light intensity drizzle
San Matias,BO,-16.3667,-58.4,73.09,98,100,3.42,light rain
Yerofey Pavlovich,RU,53.9667,121.9667,19.18,61,100,2.55,overcast clouds
Bosaso,SO,11.2842,49.1816,75.56,70,89,5.7,overcast clouds
Sunland Park,US,31.7965,-106.58,45.05,56,0,5.75,clear sky
Byron Bay,AU,-28.65,153.6167,77.94,56,90,11.68,overcast clouds
Wajir,KE,1.7471,40.0573,76.96,69,40,12.1,scattered clouds
Cenei,RO,45.7158,20.9039,28.11,45,0,8.86,clear sky
Krasnogorsk,RU,55.8225,37.3181,25.05,70,40,6.71,scattered clouds
Krasnoselkup,RU,65.7,82.4667,-11.13,100,100,8.32,overcast clouds
Ituiutaba,BR,-18.9689,-49.465,73.62,65,30,2.28,scattered clouds
Otane,NZ,-39.8833,176.6333,71.01,53,21,4.7,few clouds
Guarapari,BR,-20.6667,-40.4975,76.89,90,11,9.06,few clouds
Arlit,NE,18.7369,7.3853,69.01,18,17,7.67,few clouds
Lata,PT,40.1629,-8.3327,45.07,93,97,4.21,overcast clouds
Swan River,CA,52.1058,-101.2676,-2.31,65,85,14.97,overcast clouds
Kresttsy,RU,58.2452,32.5165,29.01,98,100,4.32,overcast clouds
Kristiansund,NO,63.1115,7.732,45.25,31,0,6.91,clear sky
Alugan,PH,12.2188,125.4808,81.91,80,100,8.97,overcast clouds
Ayan,RU,56.45,138.1667,23.4,58,99,3.47,overcast clouds
Yarensk,RU,62.1675,49.0916,17.96,96,98,5.32,overcast clouds
